id,skillName,skillEffect_01,skillEffect_02,stiffTime,stunTime,dotTime,dotPeriod,dotDmgPct,slowTime,slowPct,skillCool,skillTime,dmgPct_01,dmgPct_02,dmgPct_03,dmgPct_04,dmgPct_05,iconName
207,dtrRskill,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.5,2.95,4.25,-1,-1,-1,-1,Barbarian_16
208,dtrTskill,3,-1,-1,-1,-1,-1,-1,-1,-1,31,3.09,10.01,-1,-1,-1,-1,Barbarian_17
301,mgeNorAtkOn,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.25,1,-1,-1,-1,-1,Barbarian_18
302,mgeNorAtkTw,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.92,1,-1,-1,-1,-1,Barbarian_19
303,mgeNorAtkTh,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.1,1,-1,-1,-1,-1,Barbarian_20
304,mgeWskill,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.3,2,23,-1,-1,-1,-1,Barbarian_21
305,mgeEskill,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.4,1.92,3.3,-1,-1,-1,-1,Barbarian_22
306,mgeRskill,3,-1,-1,-1,-1,-1,-1,-1,-1,8,1.95,4.3,-1,-1,-1,-1,Barbarian_23
307,mgeTskill,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,4.7,10.14,-1,-1,-1,-1,Barbarian_24
401,hlrNorAtkOn,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.25,1,-1,-1,-1,-1,Barbarian_25
402,hlrNorAtkTw,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.17,1,-1,-1,-1,-1,Barbarian_26
403,hlrNorAtkTh,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.04,1,-1,-1,-1,-1,Barbarian_27
404,hlrNorAtkThc,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.04,1,-1,-1,-1,-1,Barbarian_28
405,hlrWskill,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.2,2.5,2.03,-1,-1,-1,-1,Barbarian_29
406,hlrEskill,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.2,2.5,3.04,-1,-1,-1,-1,Barbarian_30
407,hlrRskill,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.6,2.25,3.93,-1,-1,-1,-1,Barbarian_31
408,hlrTskill,3,-1,-1,-1,-1,-1,-1,-1,-1,29.7,2.77,9.95,-1,-1,-1,-1,Barbarian_32
10101,dsGOneNorAtk,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.14,1,-1,-1,-1,-1,Barbarian_33
10102,dsGTwoNorAtk,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.14,1,-1,-1,-1,-1,Barbarian_34
10103,dsGThreeNorAtk,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.14,1,-1,-1,-1,-1,Barbarian_35
10201,dsWOneNorAtk,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.4,1,-1,-1,-1,-1,Barbarian_36
10202,dsWTwoNorAtk,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.29,1,-1,-1,-1,-1,Barbarian_37
10401,dsEliteOnePwAtk,1,-1,1.167,-1,-1,-1,-1,-1,-1,-1,2.8,1.38,1.38,-1,-1,-1,Barbarian_38
10402,bladeLilAura,1,-1,1.167,-1,-1,-1,-1,-1,-1,-1,1.6,1.2,-1,-1,-1,-1,Barbarian_39
10403,tcdThrowing,1,-1,1.167,-1,-1,-1,-1,-1,-1,-1,2.08,0.75,-1,-1,-1,-1,Barbarian_40
10501,JinGwangNorAtk,1,2,1.167,3,-1,-1,-1,-1,-1,-1,3.9,1.12,1.12,1.81,-1,-1,Barbarian_1
10502,JinGwangPwAtk,1,-1,1.167,-1,-1,-1,-1,-1,-1,-1,3.22,1.52,1.52,-1,-1,-1,Barbarian_2
10503,swordSummon,1,-1,1.167,-1,-1,-1,-1,-1,-1,-1,3.5,1.35,1.41,-1,-1,-1,Barbarian_3
10504,bladeAura,1,-1,1.167,-1,-1,-1,-1,-1,-1,-1,1.4,1.31,-1,-1,-1,-1,Barbarian_4
10505,ecdThrowing,1,-1,1.167,-1,-1,-1,-1,-1,-1,-1,2.6,0.85,-1,-1,-1,-1,Barbarian_5
10506,grenade,1,4,1.167,-1,5,1,0.3,-1,-1,-1,2.58,1,1,-1,-1,-1,Barbarian_6
10507,hardBodyAtk,1,-1,1.167,-1,-1,-1,-1,-1,-1,-1,1,1.33,-1,-1,-1,-1,Barbarian_7
10508,teleportAtk,1,-1,1.167,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,-1,Barbarian_8
